"ID","Project","Connextra","Acceptance Criteria"
"528","A","As a user, I would like to be able to register as a new user.",""
"530","A","As a user, I would like to be able to reset my password.","Validity period 30 minutes, must be communicated"
"532","A","As a user, I would like to be able to contact the merchant as easily as possible via the website.",""
"534","A","As a user, I would like to be able to connect to the merchant's social channels.",""
"536","A","As customer, I would like to enter a search term in the search slot.","* Requirement: Display with first characters and at the latest from the 3rd letter.   
* Do not display title on ""ProductAvailability"" (40).  
* The search with letter spacers or forgotten letters, etc., should also work (Did you mean perhaps?)The search should also perform a \* search if no search word is entered.
* search with Enter works like clicking on magnifying glassIf there is no search result, a message is displayed the autocomplete opens without noticeable delay and displays a desired and defined search result.  
* There is no exact localisation of the my maybe function, so a proposal will be developed, which can then be discussed and adapted again.  "
"538","A","As customer, I want to have an autocompletion when I type in the search slot.","* Since the shop will have under 1000 titles, a high performance display of the search slot is expected
* The appearance of the search slot will work without perceived delay
* If I change my search word, the changed search result appears immediately."
"540","A","As a user of the search slot, I expect a meaningful search result.","Left and right imprecise search"
"542","A","As a user, I can access the main pages (first level) via navigation.",""
"548","A","As a user, I would like to use the Service, Topics and Company areas in the navigation.","* routing and speaking URls must be there"
"550","A","As a user, I would like to see the header at all times.",""
"554","A","As a user, I would like to be able to log in to the shop.","* Rename ""Login area"" to ""Login centre""
* Accordion flush right with ""Login centre"" button
* Design: Button blue and font white, with selection, button white and font blue, frame blue
* Click on Accordion field, e.g. ""Online shop"", to open dropdown
* Rename the ""Shop Login"" field to ""Online Shop"" and keep it bold
* Spacing of the input fields like ""Specialised databases""
* Design and naming of fields, see wireframe
* All fields and all buttons the same length and width
* Field naming in the field and disappears with input
* Font like ""Shop Login"" only thin (not bold)
* Naming of fields: ""e-mail address"", ""password""
* Link ""Forgot password"" incl. the function
* Button ""Login""   
"
"556","A","As a user, I would like to see content in the sub-navigation (3rd level) for products.",""
"558","A","As a user, I would like to log in to Software Online (ASP).",""
"560","A","As a user, I would like to log in to specialised databases online.","* Naming fields ""User name"" (instead of ""User code""), ""Password""
"
"562","A","As a user, I would like to have the option of more personalised contact.",""
"564","A","As a customer, I would like to be able to log in to my account details.",""
"568","A","As a customer, I would like to order via my existing customer account.","do not build client side
Email (correct) instead of Email (patternlab)
Email textbox catches incorrect entries via an email validator
Error messages are differentiated:Wrong email: You have entered an incorrect email addressWrong password: You have entered an incorrect password
Error message under the respective assigned text box"
"570","A","As a customer, I would like to save my customer data when placing an order.",""
"572","A","As a customer, I would like to order without creating a customer account.",""
"574","A","As a customer, I would like to select and save the payment method.","* The last payment type is always used as the default payment type.   
* In the mobile view, the SEPA text moves below the input fields and above the tick to confirm the mandate 
* Instead of 2x account holder, once account holder and once IBAN"
