user_story_id,user_story,criterios_gerados
0,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ","- Os rótulos de idioma para diferentes partes do site devem ser mantidos por categorias.
- Deve ser possível pesquisar e manter os rótulos de idioma facilmente.
- Não deve ocorrer exceção do tipo 'System.InvalidOperationException' relacionada a ColumnMapping.
- A URL da página inicial deve conter ""/en"" quando a configuração de ""URLs amigáveis para SEO com vários idiomas"" estiver habilitada.
- Deve ser possível editar produtos em massa, mesmo sem SKU.
- A limitação de desconto ""N vezes por cliente"" deve ser aplicada também para clientes convidados.
- O manipulador de remoção de itens não deve conflitar com o botão de remoção de cupom no carrinho de compras.
- Erros relacionados ao menu de administração devem ser corrigidos.
- A descrição do produto não deve sobrescrever o código HTML.
- As miniaturas dos produtos devem ser geradas corretamente.
- O texto do documento do item de linha não deve ser exibido de forma incorreta."
1,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ","- O sistema deve permitir que o administrador de sistema implante filtros em tempo de execução.
- A funcionalidade dependente de filtros deve ser implementada de forma eficiente em todos os ambientes DTAP.
- O filtro de faixas de preço deve aceitar apenas o preço mínimo para produtos configuráveis.
- A URL da página inicial não deve ter ""/en"" quando a configuração ""URLs amigáveis para SEO com vários idiomas"" estiver ativada.
- A edição em massa de produtos não deve ser permitida sem um SKU.
- A limitação de desconto ""N vezes por cliente"" não deve ser aplicada para clientes convidados.
- As propriedades DateTime nos modelos JSON-LD devem usar o formato ISO 8601 com fuso horário.
- O handler de remoção de item não deve entrar em conflito com o botão de remoção de cupom no carrinho de compras.
- Os documentos de linha de item não devem ter texto sobreposto.
- A descrição do produto não deve sobrescrever o código HTML.
- As miniaturas de imagem devem ser geradas corretamente.
- A tarefa ""Configurar pagamentos"" deve ser marcada como em andamento na página inicial do WooCommerce quando o onboarding do WooPayments estiver em andamento.
- A documentação da API REST e dos hooks deve ser adicionada ao repositório."
2,"As a marketeer, I want to set the title attribute of a link, so I can improve the SE ranking of the website ","- O título do atributo do link deve ser configurável pelo marketeer
- O título do atributo do link deve ser configurado de forma a melhorar o ranking de SEO do website
- O título do atributo do link deve ser visível e correto na página
- Ao habilitar a configuração ""SEO friendly URLs with multiple languages"", a URL da Homepage deve incluir ""/en""
- O menu de administração não deve apresentar erros ao ser acessado
- O texto do documento de linha deve ser exibido corretamente sem distorções
- O fluxo de pagamento deve permitir a troca para o modo ""live"" através do NOX flow sem erros ou problemas"
3,"As a marketeer, I want to switch URLs when URL duplication occurs between pages, so that I can solve conflicts between pages easily without having to search all pages in the tree ","- Ao ocorrer duplicação de URLs entre páginas, o sistema deve ser capaz de alternar automaticamente para URLs diferentes para resolver conflitos
- O sistema deve identificar e corrigir automaticamente a falta de ""/en"" na URL da Homepage quando a configuração ""SEO friendly URLs with multiple languages"" estiver habilitada
- Deve ser possível editar produtos em massa mesmo sem informar o SKU
- A restrição de desconto ""N vezes por cliente"" deve ser aplicada também para clientes visitantes
- O handler de remoção de item não deve entrar em conflito com o botão de remoção de cupom no carrinho de compras
- O menu de administração não deve apresentar erros
- O sistema deve funcionar corretamente com PHP 8.2 no Prestashop 8.2
- A funcionalidade ""Wall of fame"" no Back Office deve estar de acordo com o design do Figma
- A descrição do produto não deve sobrescrever o código HTML
- O texto do documento do item não deve ficar sobreposto
- A tarefa ""Set up payments"" deve ser marcada como em progresso na página inicial do WooCommerce quando o onboarding do WooPayments estiver em andamento
- Lojas em subdiretórios devem ser capazes de alternar para o modo live através do fluxo NOX de pagamentos"
4,"As a marketeer, I want to create friendly URLs for my nested product pages, so I can improve the SE ranking of the product section of my website ","- A URL dos produtos deve ser amigável e conter palavras-chave relevantes para melhorar o ranking de SEO
- A URL deve ser fácil de ler e entender para os usuários
- A URL deve ser única para cada produto e não deve conter caracteres especiais
- A configuração de múltiplos idiomas deve incluir ""/en"" na URL da página inicial
- A edição em massa de produtos deve ser possível apenas para produtos com SKU
- O menu de administração não deve apresentar erros ao acessar as páginas relacionadas aos produtos
- O texto dos itens de linha não deve estar sobreposto ou ilegível na documentação dos produtos."
5,"As a marketeer, I want to set the rel attribute of external links, so I can make sure that SE bots do no affect SE rankings for pages with many external links ","- O atributo rel dos links externos deve ser configurado corretamente para garantir que os bots de mecanismos de busca não afetem o ranking das páginas com muitos links externos.
- A exceção 'System.InvalidOperationException' não deve ser lançada ao tentar editar produtos sem SKU.
- A URL da página inicial deve conter ""/en"" quando a configuração de ""URLs amigáveis para SEO com vários idiomas"" estiver habilitada.
- A limitação de desconto ""N vezes por cliente"" deve ser aplicada corretamente para clientes convidados.
- O menu de administração não deve apresentar erros.
- Problemas relacionados ao PHP 8.2 no Prestashop 8.2 devem ser resolvidos.
- A descrição do produto não deve sobrescrever o código HTML.
- O texto do documento do item de linha não deve ser espremido.
- A tarefa ""Configurar pagamentos"" deve ser marcada como em andamento na página inicial do WooCommerce quando o onboarding do WooPayments estiver em andamento."
6,"As a marketeer, I want to set canonical tags to individual pages, so I can avoid duplicate content easily without having to set permanent redirects, and thereby will improve the SE ranking of the website. ","- O usuário deve conseguir definir tags canônicas para páginas individuais
- As tags canônicas devem evitar conteúdo duplicado sem a necessidade de redirecionamentos permanentes
- A definição das tags canônicas deve melhorar o ranking nos mecanismos de busca
- O filtro de faixas de preço deve aceitar apenas o preço mínimo para produtos configuráveis
- A URL da página inicial deve incluir ""/en"" quando a configuração de ""URLs amigáveis para SEO com vários idiomas"" estiver habilitada
- É possível editar produtos em massa sem a necessidade de SKU
- A limitação de desconto ""N vezes por cliente"" não deve ser aplicada para clientes convidados
- Os modelos JSON-LD devem utilizar o formato ISO 8601 com fuso horário para propriedades de data e hora
- A remoção de itens não deve entrar em conflito com o botão de remoção de cupom no carrinho de compras
- Erros de menu de administração devem ser corrigidos
- A descrição do produto não deve sobrescrever o código HTML
- O texto do documento do item não deve ser exibido de forma incorreta
- A tarefa ""Configurar pagamentos"" deve ser marcada como em andamento no WooCommerce Home quando o onboarding do WooPayments estiver em andamento
- A loja em um subdiretório não deve ter problemas ao alternar para o modo ao vivo através do fluxo NOX
- O editor deve exibir corretamente os dados de pré-visualização do carrinho de compras para os blocos de checkout."
7,"As a marketeer, I want to be solve URL conflicts immediately, so I avoid not-friendly URLs and thereby, will postively influence the overall SE ranking of the website ","- O sistema deve ser capaz de resolver conflitos de URL imediatamente.
- As URLs geradas devem ser amigáveis para SEO.
- A classificação do site nos mecanismos de busca deve ser positivamente influenciada.
- O sistema não deve lançar exceção 'System.InvalidOperationException'.
- A URL da página inicial deve incluir ""/en"" quando a configuração de ""SEO friendly URLs with multiple languages"" estiver ativada.
- Deve ser possível editar produtos em massa sem a necessidade de informar o SKU.
- A limitação de desconto ""N vezes por cliente"" deve ser aplicada também para clientes convidados.
- O handler de remoção de item não deve entrar em conflito com o botão de remoção de cupom no carrinho de compras.
- O menu de administração deve funcionar corretamente.
- O cache de administração deve ser atualizado corretamente, sem erros.
- A conexão com o back office só deve ser permitida com SSL ativado.
- Problemas relacionados ao PHP 8.2 em Prestashop devem ser resolvidos.
- A descrição do produto não deve sobrescrever o código HTML.
- O texto do documento de linha do item não deve ficar distorcido.
- Problemas de finalização de envio no WooCommerce devem ser corrigidos.
- O armazenamento em subdiretório não deve apresentar problemas ao alternar para o modo ao vivo através do fluxo NOX de pagamentos."
8,"As a marketeer, I want to view basic analytics data of media items easily, so that I can analyze whether content is relevant to the intended audience ","- O filtro de faixas de preço deve permitir a seleção de tanto o preço mínimo quanto o máximo para produtos configuráveis
- Não deve ocorrer exceção do tipo 'System.InvalidOperationException' ao visualizar dados de análise de mídia
- A URL da página inicial deve incluir ""/en"" quando a configuração de ""URLs amigáveis para SEO com vários idiomas"" estiver habilitada
- Deve ser possível editar produtos em massa sem a necessidade de informar o SKU
- A limitação de desconto ""N vezes por cliente"" deve ser aplicada também para clientes convidados
- As propriedades de data e hora nos modelos JSON-LD devem seguir o padrão ISO 8601 com fuso horário
- A remoção de itens na visualização de mídia não deve conflitar com o botão de remoção de cupom no carrinho de compras
- O nome do arquivo de visualização de mídia deve estar centralizado
- A descrição do produto não deve sobrescrever o código HTML
- O texto do documento do item de linha não deve aparecer de forma distorcida
- O plugin SwagCommercial deve ser ativado com sucesso após a atualização para a versão 7.1.1
- A tarefa 'Configurar pagamentos' deve ser marcada como em andamento na página inicial do WooCommerce quando o onboarding do WooPayments estiver em andamento."
9,"As a marketeer, I want to view the top keywords of the week easily, so that I can analyze key words, and when needed, I can undertake action upon this information ","- O sistema deve exibir facilmente os principais palavras-chave da semana
- Deve ser possível analisar as palavras-chave
- Deve ser possível tomar ações com base nas informações das palavras-chave
- O loop congelado na página de pedidos deve ser corrigido
- O erro ""Client token has expired"" do Braintree deve ser corrigido e o token deve ser regenerado automaticamente no checkout
- A URL da página inicial deve conter ""/en"" quando a configuração de ""URLs amigáveis para SEO com vários idiomas"" estiver ativada
- O contêiner MySQL deve ser corrigido para lidar com identificadores muito longos no Docker Compose Setup
- Deve ser possível editar produtos em massa, mesmo sem SKU
- As propriedades DateTime nos modelos JSON-LD devem usar o formato ISO 8601 com fuso horário
- O manipulador de remoção de itens não deve entrar em conflito com o botão de remoção de cupom no carrinho de compras
- O menu de administração deve funcionar corretamente
- A conexão com o back office só deve ser permitida se o SSL estiver ativado
- O erro de instalação do PrestaShop 8 localmente deve ser corrigido
- Problemas com o PHP 8.2 no Prestashop 8.2 devem ser resolvidos
- A quantidade mínima de produto no Prestashop deve ser configurável
- A descrição do produto não deve sobrescrever o código HTML
- O texto do documento de item de linha não deve ser sobreposto
- O plugin SwagCommercial deve poder ser ativado após a atualização para a versão 7.1.1
- O fluxo de pagamento NOX não deve ter problemas ao alternar para o modo ao vivo em um subdiretório da loja
- O editor deve mostrar corretamente os dados do previewCart para os blocos de checkout."
