fonte,repositorio,titulo,conteudo,categoria,metadata,timestamp
issue,magento/magento2,Added encode diacritics breaks on rp_token,"Issue: Added encode diacritics breaks on rp_token

Descrição: The change from https://github.com/magento/magento2/pull/36027/files   seems to be not backwards compatible with existing customer data coming from an earlier Magento version. 

This change validates input with transliteration. However, this is done on every value. Also on values which are not transliterable (is that a word?). Anyway... if we use the Magento API to change an existing customer per following REST API, this translit breaks on the existing `rp_token`.

```
PUT https://www.magento.com/rest/all/V1/customers/:id
```

With body to update the customer including the password like per example.

```
{
  ""customer"": {
    ""email"": ""onno@example.com"",
    ""Gender"": 1,
    ""Lastname"": ""Testing"",
    ""Store_id"": 1,
    ""Firstname"": ""Önno"",
    ""addresses"": [
      {
        ""street"": [
          ""Somewhere street""
        ],
        ""Lastname"": ""Testing"",
        ""Postcode"": ""1231 EC"",
        ""Telephone"": ""0"",
        ""firstname"": ""Önno"",
        ""Middlename"": "" "",
        ""country_id"": ""NL"",
        ""Default_billing"": true,
        ""Default_shipping"": true,
        ""custom_attributes"": [
          {
            ""value"": ""236"",
            ""attribute_code"": ""house_number""
          },
          {
            ""value"": ""D"",
            ""attribute_code"": ""house_number_addition""
          }
        ],
        ""city"": ""TEST CITY""
      }
    ],
    ""Middlename"": "" "",
    ""Website_id"": 1,
    ""custom_attributes"": [
      {
        ""value"": null,
        ""attribute_code"": ""sales_representative""
      },
      {
        ""value"": ""5682"",
        ""attribute_code"": ""customer_group""
      },
    ],
    ""id"": 12345
  },
  ""password"": ""passwordChangeLater@11""
}
```

Error in logging.

```
[2023-03-30T13:16:19.193625+00:00] report.CRITICAL: Exception: Notice: iconv(): Detected an incomplete multibyte character in input string in /var/domains/magento.shop",issue_fechada,"{'labels': ['issue: needs update', 'reported on 2.4.x', 'triage: dev.experience'], 'numero': 37326, 'relevante': False, 'comentarios': 65}",2025-08-06T20:13:42.887420
comentario_issue,magento/magento2,Comentário na issue #37326,"Hi @mischabraam. Thank you for your report. 
To speed up processing of this issue, make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, Add a comment to the issue: 
- `@magento give me 2.4-develop instance` - upcoming 2.4.x release
- For more details, review the [Magento Contributor Assistant](https://developer.adobe.com/commerce/contributor/guides/code-contributions/#contributor-assistant) documentation.
- Add a comment to [assign the issue](https://developer.adobe.com/commerce/contributor/guides/code-ontributions/#assigning-an-issue): `@magento I am working on this` 
- To learn more about issue processing workflow, refer to the [Code Contributions](https://developer.adobe.com/commerce/contributor/guides/code-contributions/).
---
Join [Magento Community Engineering Slack](https://developer.adobe.com/open/magento/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 
 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 
:clock10: You can find the schedule on the [Magento Community Calendar page](https://www.adobe.io/open/magento/calendar).
:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, join the Community Contributions Triage session to discuss the appropriate ticket.",comentario,{'issue_numero': 37326},2025-08-06T20:13:44.092482
comentario_issue,magento/magento2,Comentário na issue #37326,"Hi @engcom-Bravo. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).
- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. 
- [ ] 3. Add `Area: XXXXX` label to the ticket, indicating the functional areas it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- Add the comment `@magento give me 2.4-develop instance` to deploy test instance on Magento infrastructure. <br/> - If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>
- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 
- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 37326},2025-08-06T20:13:44.092482
comentario_issue,magento/magento2,Comentário na issue #37326,"I've just run into this issue myself. Not even using the API, just trying to edit the customer in the Magento backend will fail. Logs for that:

```
[2023-04-03T20:37:52.428761+00:00] main.CRITICAL: Exception message: Notice: iconv(): Detected an incomplete multibyte character in input string in /home/forge/magento.store/vendor/magento/module-eav/Model/Attribute/Data/Text.php on line 190
Trace: <pre>#1 iconv() called at [vendor/magento/module-eav/Model/Attribute/Data/Text.php:190]
#2 Magento\Eav\Model\Attribute\Data\Text->encodeDiacritics() called at [vendor/magento/module-eav/Model/Attribute/Data/Text.php:83]
#3 Magento\Eav\Model\Attribute\Data\Text->validateValue() called at [vendor/magento/module-eav/Model/Validator/Attribute/Data.php:141]
#4 Magento\Eav\Model\Validator\Attribute\Data->isValid() called at [vendor/magento/framework/Validator/Constraint.php:51]
#5 Magento\Framework\Validator\Constraint->isValid() called at [vendor/magento/framework/Validator.php:61]
#6 Magento\Framework\Validator->isValid() called at [vendor/magento/module-customer/Model/ResourceModel/Customer.php:261]
#7 Magento\Customer\Model\ResourceModel\Customer->_validate() called at [vendor/magento/module-customer/Model/ResourceModel/Customer.php:194]
#8 Magento\Customer\Model\ResourceModel\Customer->_beforeSave() called at [vendor/magento/module-eav/Model/Entity/VersionControl/AbstractEntity.php:90]
#9 Magento\Eav\Model\Entity\VersionControl\AbstractEntity->save() called at [vendor/magento/framework/Interception/Interceptor.php:58]
#10 Magento\Customer\Model\ResourceModel\Customer\Interceptor->___callParent() called at [vendor/magento/framework/Interception/Interceptor.php:138]
#11 Magento\Customer\Model\ResourceModel\Customer\Interceptor->Magento\Framework\Interception\{closure}() called at [vendor/magento/module-checkout/Model/Plugin/RecollectQuoteOnCustomerGroupChange.php:77]
#12 Magento\Checkout\Model\Plugin\RecollectQuoteOnCustomerGroupChange->aroundSave() called at [ven",comentario,{'issue_numero': 37326},2025-08-06T20:13:44.092482
issue,magento/magento2,Grouped products without children not shown and pagination broken,"Issue: Grouped products without children not shown and pagination broken

Descrição: Pagination gets calculated incorrectly when there are grouped products without children.

### Investigation

Upon further investigation I have found the following

1. when calculating the number of products to show, the system will count all grouped products that match, as it should
2. when building the pages, the system then skips the grouped products that do not have a child product

This causes inconsistent paging and results in some products not showing in the catalog listing, though they show fine on direct link. 


### Preconditions (*)

1. Magento 2 site, in my case 2.4
2. Use Grouped products 
3. have more grouped products than your page size
4. have a grouped product that does not currently have children assigned

### Steps to reproduce (*)

1. Go to catalog and look at pagination information

### Expected result (*)

1. Pagination should match the configuration and show the right number of products, including enabled matching grouped products without a child

example for 151 results and 48 page size: pg 1 is 1-48, pg 2 is 49-96, pg 3 is 97-144 etc


### Actual result (*)

1. Pagination does not match the configuration and there are gaps in the pages as the grouped products without children are, for some reason, skipped.

pg 1 is 1-48, pg 2 is 49-92, pg3 is 97-144

---
Please provide [Severity](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#backlog) assessment for the Issue as Reporter. This information will help during Confirmation and Issue triage processes.

- [x] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._

PS: Grouped products really don't get tested properly ever. This is getting painful. The test data should have more than 1 grouped product. CAN WE GET 20 grouped products in the test data, so they get tested properly instead of being miss",issue_fechada,"{'labels': ['reproduced on 2.4.x', 'component: catalog', 'severity: s3', 'issue: confirmed', 'progress: done', 'priority: p3'], 'numero': 31828, 'relevante': False, 'comentarios': 29}",2025-08-06T20:13:44.887444
comentario_issue,magento/magento2,Comentário na issue #31828,"Hi @iphigenie. Thank you for your report. 
To help us process this issue please make sure that you provided the following information:
- Summary of the issue
- Information on your environment
- Steps to reproduce
- Expected and actual results

Please make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, please, add a comment to the issue: 

`@magento give me 2.4-develop instance` - upcoming 2.4.x release

For more details, please, review the [Magento Contributor Assistant](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#contributor-assist) documentation.

Please, add a comment to [assign the issue](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#assigning-an-issue): `@magento I am working on this` 

---
-  Join [Magento Community Engineering Slack](https://opensource.magento.com/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 



 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 

:clock10: You can find the schedule on the [Magento Community Calendar page](https://opensource.magento.com/community-calendar).

:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, please join the Community Contributions Triage session to discuss the appropriate ticket.

:movie_camera: You can find the recording of the previous Community Contributions Triage on the [Magento Youtube Channel](https://www.youtube.com/playlist?list=PLDvMskiz68Q2BLkj0-xzjuFl7ZVti9Quj)

 :pencil2: Feel free to post questions/proposals/feedback related to the Community Contributions Triage process to the corresponding [Slack Channel](https://magentocommeng.slack.com/archives/C016SG16J03",comentario,{'issue_numero': 31828},2025-08-06T20:13:45.739058
comentario_issue,magento/magento2,Comentário na issue #31828,Hi @iphigenie. Thank you for your request. I'm working on Magento instance for you.,comentario,{'issue_numero': 31828},2025-08-06T20:13:45.739058
issue,magento/magento2,Improve Login as Customer MFTF tests.,"Issue: Improve Login as Customer MFTF tests.

Descrição: <!---
Please review our guidelines before adding a new issue: https://github.com/magento/magento2/wiki/Issue-reporting-guidelines
Fields marked with (*) are required. Please don't remove the template.
-->

### Summary (*)
<!--- Describe the issue you are experiencing. Include general information, error messages, environments, and so on. -->
Move the Login as Customer related MFTF tests configuration preconditions/afterconditions to a test suite mapped to the login_as_customer instead of performing the same configuration for each test.

### Examples (*)
<!--- Provide code examples or a patch with a test (recommended) to clearly indicate the problem. -->
See MFTF tests in LoginAsCustomer/Test/Mftf/Test.

### Proposed solution
<!--- Suggest your potential solutions for this issue. -->

---
Please provide [Severity](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#backlog) assessment for the Issue as Reporter. This information will help during Confirmation and Issue triage processes.

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users with no workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [x] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._",issue_fechada,"{'labels': ['reproduced on 2.4.x', 'priority: p4', 'issue: confirmed', 'progress: ready for dev', 'project: login as customer', 'triage: dev.experience'], 'numero': 29850, 'relevante': False, 'comentarios': 4}",2025-08-06T20:13:46.582735
comentario_issue,magento/magento2,Comentário na issue #29850,"Hi @engcom-Foxtrot. Thank you for your report. 
To help us process this issue please make sure that you provided the following information:
- Summary of the issue
- Information on your environment
- Steps to reproduce
- Expected and actual results

Please make sure that the issue is reproducible on the vanilla Magento instance following **Steps to reproduce**. To deploy vanilla Magento instance on our environment, please, add a comment to the issue: 

`@magento give me 2.4-develop instance` - upcoming 2.4.x release

For more details, please, review the [Magento Contributor Assistant](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#contributor-assist) documentation.

Please, add a comment to [assign the issue](https://devdocs.magento.com/guides/v2.3/contributor-guide/contributing.html#assigning-an-issue): `@magento I am working on this` 

---
-  Join [Magento Community Engineering Slack](https://opensource.magento.com/slack) and ask your questions in [#github](https://magentocommeng.slack.com/messages/C7KB93M32) channel. 



 :warning: According to the Magento Contribution requirements, all issues must go through the Community Contributions Triage process. Community Contributions Triage is a public meeting. 

:clock10: You can find the schedule on the [Magento Community Calendar page](https://opensource.magento.com/community-calendar).

:telephone_receiver: The triage of issues happens in the queue order. If you want to speed up the delivery of your contribution, please join the Community Contributions Triage session to discuss the appropriate ticket.

:movie_camera: You can find the recording of the previous Community Contributions Triage on the [Magento Youtube Channel](https://www.youtube.com/playlist?list=PLDvMskiz68Q2BLkj0-xzjuFl7ZVti9Quj)

 :pencil2: Feel free to post questions/proposals/feedback related to the Community Contributions Triage process to the corresponding [Slack Channel](https://magentocommeng.slack.com/archives/C016SG",comentario,{'issue_numero': 29850},2025-08-06T20:13:47.418912
comentario_issue,magento/magento2,Comentário na issue #29850,"Hi @engcom-Delta. Thank you for working on this issue. 
In order to make sure that issue has enough information and ready for development, please read and check the following instruction: :point_down:
- [ ] 1. Verify that issue has all the required information. (**Preconditions**, **Steps to reproduce**, **Expected result**, **Actual result**).<details><summary>Details</summary>If the issue has a valid description, the label `Issue: Format is valid` will be added to the issue automatically. Please, edit issue description if needed, until label `Issue: Format is valid` appears.</details>

- [ ] 2. Verify that issue has a meaningful description and provides enough information to reproduce the issue. If the report is valid, add `Issue: Clear Description` label to the issue by yourself.

- [ ] 3. Add `Component: XXXXX` label(s) to the ticket, indicating the components it may be related to.
- [ ] 4. Verify that the issue is reproducible on `2.4-develop` branch<details><summary>Details</summary>- Add the comment `@magento give me 2.4-develop instance` to deploy test instance on Magento infrastructure. <br/> - If the issue is reproducible on `2.4-develop` branch, please, add the label `Reproduced on 2.4.x`.<br/>- If the issue is not reproducible, add your comment that issue is not reproducible and close the issue and **_stop verification process here_**!</details>


- [ ] 5. Add label `Issue: Confirmed` once verification is complete. 

- [ ] 6. Make sure that automatic system confirms that report has been added to the backlog.",comentario,{'issue_numero': 29850},2025-08-06T20:13:47.418912
