repositório,título,descrição,labels
magento/magento2,Price ranges filter takes only min_price for configurable products,"Having a configurable product with options that cost 50, 150 and 250 and a price ranges filters in layered navigation with ranges 0-100, 100-200 and 200-300 will show the product only in the first range, as it takes min_price for the configurable product and there is no other price in ElasticSearch.",Issue: needs update
magento/magento2,Frozen loop in orders page,"### Preconditions and environment

- Magento version 2.3.6
- Anything else that would help a developer reproduce the bug- sales>orders>filter by allocated sources


### Steps to reproduce

1.Logged in 
2. sales
3. orders
4. clicked on the allocated sources filter


### Expected result

I actually didn't mean to click on it so I am not sure what it would have done besides organize the orders in a specific way. 

### Actual result

 ""Something went wrong with processing the default view and we have restored the filter to its original state."" message and a spinning wheel that never goes away

![Image](https://github.com/user-attachments/assets/e0aa9d19-15ed-4c12-99bb-d616065a4473)

### Additional information

I have cleared my cache and cookies and restarted the browser and cannot get out of the spinning wheel. 

### Release note

_No response_

### Triage and priority

- [x] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._","Issue: needs update, Reported on 2.3.6"
magento/magento2,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","### Preconditions and environment

-Magento 2 version: 2.4.7-p3
-PHP version: 8.2
-paypal/module-braintree-core version : 4.6.1-p3

-Braintree Payment Method configured with Merchant ID, Public Key, Private Key, and validated Credentials successfully.

### Steps to reproduce

1. Configure Braintree payment in Magento Admin using valid credentials.
2. Leave the site idle for more than 24 hours (token expiry period).
3. Visit the checkout page.
4. Attempt to proceed with Braintree payment.

### Expected result

- Braintree should regenerate the client token automatically if the previous one is expired.
- Checkout should load the payment method without errors.

### Actual result

Checkout displays an error:
`Either the client token has expired and a new one should be generated or the tokenization key has been deactivated or deleted.
`
Simply opening Stores > Configuration > Sales > Payment Methods in the admin temporarily resolves the issue.

### Additional information

- We have a storefront built on VueJS, checkout and admin interfaces on Magento 2.
- This issue repeats every Sunday or after site inactivity.
- Admin config visit appears to refresh the token indirectly.
- This could be related to the token lifecycle not being managed properly in Magento’s Braintree module.

https://github.com/user-attachments/assets/1e58a7dc-884c-4aa5-9e9a-b3c1d11b3cea

### Release note

**Suggestion**
Implement a mechanism to regenerate the client token automatically when expired, especially on the checkout load.

### Triage and priority

- [x] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._",Issue: needs update
magento/magento2,2.4.8-p1 datepicker - position is wrong on touch devices,"### Preconditions and environment

- Magento version: 2.4.8-p1

### Steps to reproduce

1. Use touch device. It can be mobile phone. Or you can use ""Device preview"" in Google Chrome.
2. Go to magento admin and enable ""Date of Birth"" field for customer (Stores -> Configuration -> Customers -> Customer Configuration -> Name and Address Options -> **Show Date of Birth = Optional**).
3. Login to customer account -> Account Information. 
4. Click on ""Date of Birth"" field.

### Expected result

Datepicker appears right above or below ""Date of Birth"" input field. 

### Actual result

Sometimes datepicker appears too far from ""Date of Birth"" input field. It can be even outside the visisble screen. 
Browser:

<img width=""1642"" height=""796"" alt=""Image"" src=""https://github.com/user-attachments/assets/3fc81943-08f6-4674-8b1d-bca6d29e7916"" />

Mobile phone:
<img width=""629"" height=""1271"" alt=""Image"" src=""https://github.com/user-attachments/assets/216b7144-01de-4c96-a7a5-4c89b854e24f"" />

### Additional information

The issue is in file `lib/web/mage/calendar.js` method `_overwriteFindPos`. If we comment everything - it works like it should.

<img width=""1352"" height=""378"" alt=""Image"" src=""https://github.com/user-attachments/assets/92f85d23-3903-457b-9665-71c64d00555d"" />

### Release note

_No response_

### Triage and priority

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [x] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._","Issue: needs update, Reported on 2.4.8-p1"
magento/magento2,Import less file from app/design to custom module,"### Preconditions and environment

I do have the custom module and its structure is below. 

app/code/vendor/module/view/frontend/web/css/example.less. 

in the example.less, how can i import additional global less file from app/design folder there?

### Steps to reproduce

a

### Expected result

b

### Actual result

c

### Additional information

_No response_

### Release note

_No response_

### Triage and priority

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._","Issue: needs update, Reported on 2.4.x"
magento/magento2,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"### Preconditions and environment

- Magento version - 2.4.7-p5
- Print Order button is not showing on order view page at frontend side

### Steps to reproduce

1. Log in to your Magento storefront as a registered customer.
2. In the top navigation or footer, click “My Account”.
3. From the account dashboard, click “My Orders” in the left sidebar or center panel.
4. Find the order you wish to print and click the “View Order” link.
5. On the Order View Page, look at the top right corner or near the order details.
6. There is not showing the Print order button.

### Expected result

On order view page Order print button should visible.

### Actual result

On order view page Order print button should visible.

### Additional information

_No response_

### Release note

_No response_

### Triage and priority

- [ ] Severity: **S0** _- Affects critical data or functionality and leaves users without workaround._
- [ ] Severity: **S1** _- Affects critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S2** _- Affects non-critical data or functionality and forces users to employ a workaround._
- [ ] Severity: **S3** _- Affects non-critical data or functionality and does not force users to employ a workaround._
- [ ] Severity: **S4** _- Affects aesthetics, professional look and feel, “quality” or “usability”._","Issue: needs update, Reported on 2.4.7-p5"
nopSolutions/nopCommerce,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"Upgrading from 3.8 to 4.9 using following Environment:

1. Windows 11
2. SQL server 2008 R2 SP3
3. vscode

and have done the following:

1. pulled current developer branch
2. cloned current production store DB
3. run the 3.9 to 4.3 upgrade SQL scripts on our cloned production store DB
4. Installed and built developer branch without errors
5. start app, get install page
6. fill out install form with correct admin store credentials and raw connection string

Results are:

1. breaks on exception `Exception has occurred: CLR/System.InvalidOperationException
Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.'
   at Microsoft.Data.SqlClient.SqlBulkCopy.AnalyzeTargetAndCreateUpdateBulkCommand(BulkCopySimpleResultSet internalResults)
   at Microsoft.Data.SqlClient.SqlBulkCopy.WriteToServerInternalRestContinuedAsync(BulkCopySimpleResultSet internalResults, CancellationToken cts, TaskCompletionSource`1 source)
--- End of stack trace from previous location ---
   at LinqToDB.DataProvider.SqlServer.SqlServerBulkCopy.<>c__DisplayClass10_1`1.<<ProviderSpecificCopyInternalAsync>b__3>d.MoveNext()
   at LinqToDB.DataProvider.BasicBulkCopy.<TraceActionAsync>d__26.MoveNext()
   at LinqToDB.DataProvider.SqlServer.SqlServerBulkCopy.<ProviderSpecificCopyInternalAsync>d__10`1.MoveNext()
   at Nop.Data.DataProviders.BaseDataProvider.<BulkInsertEntitiesAsync>d__22`1.MoveNext() in C:\Users\chris\Documents\GitHub\nopCommerce\src\Libraries\Nop.Data\DataProviders\BaseDataProvider.cs:line 391`
2. Appears to be complaining that columns in the store table do not line up 
3. confirm that store table indeed was not migrated/updated with new columns
`CREATE TABLE [dbo].[Store](
	[Id] [int] IDENTITY(1,1) NOT NULL,
	[Name] [nvarchar](400) NOT NULL,
	[Url] [nvarchar](400) NOT NULL,
	[SslEnabled] [bit] NOT NULL,
	[Hosts] [nvarchar](1000) NULL,
	[DisplayOrder] [int] NOT NULL,
	[CompanyName] [nvarchar](1000) NULL,
	[CompanyAddress] [nvarchar](1000) NULL,
	[CompanyPhoneNumber] [nvarchar](1000) NULL,
	[CompanyVat] [nvarchar](1000) NULL,
	[DefaultLanguageId] [int] NOT NULL,`
4. Confirmed that in MigrationVersionInfo table there is an entry 
`2025-07-31 13:43:42.000	Added new fields to store table	638059361410000000`
5. confirmed that there are no open transactions on the DB
`DBCC OPENTRAN;
No active open transactions.
DBCC execution completed.`

Indeed it appears that despite all the new entries of migration tasks performed in the MigrationVersionInfo table in fact NONE of them have been done.  I have to believe this is pilot error on my part but if it is seems like there should be better protections built into the app to prevent this?  How can the entries exist in the MigrationVersionInfo  table and the actual work not be done?
",
nopSolutions/nopCommerce,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","Step to reproduce:
1. Create multiple languages. One of them should be ""English""
2.  Ensure ""SEO friendly URLs with multiple languages"" setting is enabled
3. Go to any page. The home page URL (a logo in the top left corder) should contain language prefix. It exists for all languages except ""English""


See: Nop.Web\Infrastructure\BaseRouteProvider.cs",bug
nopSolutions/nopCommerce,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"### Problem Description

I'm trying to run a nopCommerce + MySQL setup using Docker Compose on macOS (Macbook Air - M2 - Arm64). During container startup, MySQL fails with this error:

Setup failed: Identifier name 'FK_CustomerAttributeValue_CustomerAttributeId_CustomerAttribute_Id' is too long

### Environment

- Docker Desktop (macOS)
- MySQL 8.0
- nopCommerce with EF Core

### mysql-docker-compose.yml (partial)

```yaml
services:
  nopcommerce_web:
    build: .
    container_name: nopcommerce
    ports:
      - ""80:80""
    depends_on:
      - nopcommerce_database

  nopcommerce_database:
    image: mysql:8.0
    container_name: nopcommerce_mysql_server
    restart: always
    environment:
      MYSQL_ROOT_PASSWORD: root
      MYSQL_DATABASE: mydb
      MYSQL_USER: nopuser
      MYSQL_PASSWORD: nop123
    volumes:
      - nopcommerce_data:/var/lib/mysql

volumes:
  nopcommerce_data:

What I Tried
 - Switched to MySQL 8.0 (And also I tired with MySQL Latest but it didn't work)

 - Simplified the constraint name manually (but not sure where to modify it in EF Core)

 - Verified MySQL is up, but schema fails on setup due to long foreign key names

Help Needed
 - How to override EF Core to use shorter constraint names?

 - Or how to configure MySQL for longer identifiers if possible?

Thanks in advance!
Arun
",bug
nopSolutions/nopCommerce,Bulk edit products. Editing products without SKU,"Version: nopCommerce 4.80.X

From the bulk edit grid, when a product is set with no SKU and any field is edited and click ""Save all"" button, it throws the following error:
""System.NullReferenceException: Object reference not set to an instance of an object.""
The expected behavior should be that the edited field is updated, or if there is any validation issue, a warning message should be displayed instead of throwing an error.
Please find the reference screenshot attached.
1. https://prnt.sc/bVOFBygYbiOh
2. https://prnt.sc/Jyo5pygz468o
3. https://prnt.sc/5s0DzIvaZ9GR

Steps to reproduce:
1. Go to  nopCommerce Admin >> Catalog >> Products >> Bulk Edit Products
2. Make any product’s SKU field empty and edit any field of that product
3. Click the Save All button

Forum source: https://www.nopcommerce.com/en/boards/topic/102359/bulk-edit-products-edit-and-save-issue-in-480


It will also happen if you just select the one record having no SKU and ""Save selected"".",bug
